PRODUCTNO,LOCATION
1014940-00-D,AS-T02-040-E
6007415-00-D,ST-1B-STACKING
1008415-05-B,PL-IMB-XX
1035764-00-D,AS-RF1-020-E
1019229-00-C,PL-IMB-XX
1014664-00-A,TP1-10200
1023847-02-A,BM3-02300
1030305-00-C,SU5-11000
1025704-00-A,SU3-02000
1025704-00-A,SU3-03000
1018312-00-A,PL-IH-SA3
1005896-00-G,AS-KT1-100-EZ
1030686-10-A,PT-RPK-CART
1048666-00-A,AS-RF1-020-E
1012610-00-A,AS-FT-BOS-GA4
1047040-00-A,BP3-05200
1014329-00-B,SU1-12000
1014022-00-A,TP1-10060
1038162-07-A,SC2-00502
1024715-00-A,DT1-40100
1024715-00-D,RT1-85000
